DBA,BORO,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION DESCRIPTION,CRITICAL FLAG,GRADE,GRADE DATE,INSPECTION TYPE
COZY SOUP & BURGER,Manhattan,BROADWAY,10003,2124775566,American,10/04/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,10/04/2022,Cycle Inspection / Initial Inspection
TURKISH KITCHEN,Manhattan,3 AVENUE,10016,2126796633,Turkish,10/05/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,10/05/2022,Cycle Inspection / Initial Inspection
DUTCH FREDS,Manhattan,WEST   47 STREET,10036,6469186923,American,10/05/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,10/05/2022,Cycle Inspection / Initial Inspection
MANHATTAN DINER,Manhattan,BROADWAY,10025,2129320068,American,10/06/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,10/06/2022,Cycle Inspection / Initial Inspection
ESSEX TAQUERIA,Manhattan,ESSEX STREET,10002,2122608226,Mexican,10/13/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,10/13/2022,Cycle Inspection / Initial Inspection
BARE BURGER,Manhattan,ORCHARD STREET,10002,2125108610,American,10/17/2022,Violations were cited in the following area(s).,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,A,10/17/2022,Cycle Inspection / Initial Inspection
MIMIS RESTAURANT & BAR,Manhattan,SECOND AVENUE,10022,2126884692,Italian,10/18/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,10/18/2022,Cycle Inspection / Initial Inspection
MIMIS RESTAURANT & BAR,Manhattan,SECOND AVENUE,10022,2126884692,Italian,10/18/2022,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,10/18/2022,Cycle Inspection / Initial Inspection
MS. KIM'S,Manhattan,WEST   28 STREET,10001,7189382223,Korean,10/21/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,10/21/2022,Cycle Inspection / Initial Inspection
WAGAMAMA,Manhattan,5 AVENUE,10010,2129206233,Japanese,10/21/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,10/21/2022,Cycle Inspection / Initial Inspection
TRAILER PARK LOUNGE,Manhattan,WEST   23 STREET,10011,2124638000,American,10/24/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,10/24/2022,Cycle Inspection / Initial Inspection
TAQUERIA NIXTAMAL,Manhattan,DELANCEY STREET,10002,6468510090,Mexican,10/26/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,10/26/2022,Cycle Inspection / Initial Inspection
PATRICK'S PLACE,Manhattan,FREDERICK DOUGLASS BOULEVARD,,2124917800,Caribbean,10/27/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,10/27/2022,Cycle Inspection / Initial Inspection
LE CAFE COFFEE,Manhattan,EAST   14 STREET,10003,2123651060,American,10/27/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,10/27/2022,Cycle Inspection / Initial Inspection
GIARDINO D'ORO,Manhattan,GOLD STREET,10038,2125146400,Italian,11/01/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,11/01/2022,Cycle Inspection / Initial Inspection
OSTERIA AL DOGE,Manhattan,WEST   44 STREET,10036,2129443643,Italian,11/02/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,11/02/2022,Cycle Inspection / Initial Inspection
NORMA,Manhattan,9 AVENUE,10019,9176485001,Italian,11/03/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,11/03/2022,Cycle Inspection / Initial Inspection
AMC THEATRES,Manhattan,BROADWAY,10024,2127216023,American,11/09/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,11/09/2022,Cycle Inspection / Initial Inspection
TWINS PUB,Manhattan,9 AVENUE,10001,2126431688,Irish,11/15/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,11/15/2022,Cycle Inspection / Initial Inspection
JUKAI,Manhattan,EAST   53 STREET,10022,2125889788,Japanese,11/15/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,11/15/2022,Cycle Inspection / Initial Inspection
SALAM CAFE & REST,Manhattan,W. 13TH ST. (UNIT ONE),10011,2127410277,Middle Eastern,11/21/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,11/21/2022,Cycle Inspection / Initial Inspection
RABBIT HOUSE,Manhattan,ESSEX STREET,10002,6462663286,Asian/Asian Fusion,11/29/2022,Violations were cited in the following area(s).,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,A,11/29/2022,Cycle Inspection / Initial Inspection
BENTON CAFE,Manhattan,EAST   45 STREET,10017,2129229788,Japanese,12/06/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,12/06/2022,Cycle Inspection / Initial Inspection
"DUNKIN',' HUDSON NEWS",Manhattan,PENNSYLVANIA PLAZA,10121,6469517284,American,12/07/2022,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,12/07/2022,Cycle Inspection / Initial Inspection
"DUNKIN',' HUDSON NEWS",Manhattan,PENNSYLVANIA PLAZA,10121,6469517284,American,12/07/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,12/07/2022,Cycle Inspection / Initial Inspection
HARLEM FOOD CT,Manhattan,WEST  116 STREET,10026,2127227300,American,12/12/2022,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,12/12/2022,Cycle Inspection / Initial Inspection
BROOME STREET BAR,Manhattan,WEST BROADWAY,10013,2129252086,American,12/13/2022,Violations were cited in the following area(s).,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,A,12/13/2022,Cycle Inspection / Initial Inspection
BROOME STREET BAR,Manhattan,WEST BROADWAY,10013,2129252086,American,12/13/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,12/13/2022,Cycle Inspection / Initial Inspection
ANTONUCCI,Manhattan,EAST 81 STREET,10028,2125705100,Italian,12/15/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,12/15/2022,Cycle Inspection / Initial Inspection
RANGOLI EXQUISITE INDIAN CUISINE,Manhattan,2 AVENUE,10021,2126283800,Indian,12/19/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,12/19/2022,Cycle Inspection / Initial Inspection
FLAVOR'S HOUSE,Manhattan,2 AVENUE,10010,6468700318,Spanish,12/19/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,12/19/2022,Cycle Inspection / Initial Inspection
AHIMSA,Manhattan,EAST   38 STREET,10016,5166032478,Indian,12/20/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,12/20/2022,Cycle Inspection / Initial Inspection
CHELSEA RISTORANTE,Manhattan,8 AVENUE,10011,2129247786,Italian,12/20/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,12/20/2022,Cycle Inspection / Initial Inspection
TEDDYS F&B,Manhattan,2 AVENUE,10029,9175615148,American,12/21/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,12/21/2022,Cycle Inspection / Initial Inspection
JOY CURRY & TANDOOR,Manhattan,EAST   46 STREET,10017,2124901277,Indian,12/21/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,12/21/2022,Cycle Inspection / Initial Inspection
ANFORA,Manhattan,8 AVENUE,10014,2125182722,Italian,12/29/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,12/29/2022,Cycle Inspection / Initial Inspection
APPLE JACK DINER,Manhattan,BROADWAY,10019,2125866075,American,01/06/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,01/06/2023,Cycle Inspection / Initial Inspection
TRATTORIA I MALATESTA,Manhattan,WASHINGTON STREET,10014,2127411207,Italian,01/09/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,01/09/2023,Cycle Inspection / Initial Inspection
"TACO BELL, KFC",Manhattan,BROADWAY,10031,2124919151,Tex-Mex,01/11/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,01/11/2023,Cycle Inspection / Initial Inspection
MAD DOG & BEANS,Manhattan,PEARL STREET,10004,2122691177,Mexican,01/17/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,01/17/2023,Cycle Inspection / Initial Inspection
K'OOK,Manhattan,EAST    6 STREET,10003,2122540600,Korean,01/17/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,01/17/2023,Cycle Inspection / Initial Inspection
STRANGE LOVE BAR,Manhattan,EAST   53 STREET,10022,9174751131,American,01/19/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,01/19/2023,Cycle Inspection / Initial Inspection
WALTER READE THEATER,Manhattan,LINCOLN CENTER PLAZA,10023,2128755201,American,01/24/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,01/24/2023,Cycle Inspection / Initial Inspection
TARTINERY,Manhattan,EAST   42 STREET,10017,3476427090,American,01/26/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,01/26/2023,Cycle Inspection / Initial Inspection
MOLLY WEE PUB,Manhattan,8 AVENUE,10001,2129672627,Irish,01/26/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,01/26/2023,Cycle Inspection / Initial Inspection
YUMMY THAI,Manhattan,BROADWAY,10034,9175290811,Thai,01/30/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,01/30/2023,Cycle Inspection / Initial Inspection
A.W.O.L. BAR & GRILL,Manhattan,3 AVENUE,10010,6466829405,American,01/31/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,01/31/2023,Cycle Inspection / Initial Inspection
JOSIE WOOD'S PUB,Manhattan,WAVERLY PLACE,10003,2122289909,American,01/31/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,01/31/2023,Cycle Inspection / Initial Inspection
SHUBERT THEATER,Manhattan,WEST   44 STREET,10036,2125867610,American,02/01/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,02/01/2023,Cycle Inspection / Initial Inspection
AS IS,Manhattan,10 AVENUE,10019,6468581153,American,02/01/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,02/01/2023,Cycle Inspection / Initial Inspection
VIVI BUBBLE TEA,Manhattan,2 AVENUE,10021,3477987687,Chinese,02/03/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,02/03/2023,Cycle Inspection / Initial Inspection
WEST BANK CAFE,Manhattan,WEST   42 STREET,10036,2126956909,American,02/10/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,02/10/2023,Cycle Inspection / Initial Inspection
GLAZE,Manhattan,LEXINGTON AVENUE,10022,2129353400,Japanese,02/13/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,02/13/2023,Cycle Inspection / Initial Inspection
THE BLACK SHEEP,Manhattan,3 AVENUE,10016,2125993476,Irish,02/14/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,02/14/2023,Cycle Inspection / Initial Inspection
FELIX,Manhattan,WEST BROADWAY,10013,2124310021,French,02/16/2023,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,02/16/2023,Cycle Inspection / Initial Inspection
FELIX,Manhattan,WEST BROADWAY,10013,2124310021,French,02/16/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,02/16/2023,Cycle Inspection / Initial Inspection
FANELLI CAFE,Manhattan,PRINCE STREET,10012,2122269412,American,02/21/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,02/21/2023,Cycle Inspection / Initial Inspection
HUDSON HOUND,Manhattan,HUDSON STREET,10014,6466382900,American,02/22/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,02/22/2023,Cycle Inspection / Initial Inspection
TURKS & FROGS,Manhattan,WEST   11 STREET,10014,2126918875,French,02/22/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,02/22/2023,Cycle Inspection / Initial Inspection
THE FOUR FACED LIAR,Manhattan,WEST    4 STREET,10014,2122068959,African,02/22/2023,Violations were cited in the following area(s).,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,A,02/22/2023,Cycle Inspection / Initial Inspection
ELYSIAN FIELDS CAFE,Manhattan,AMSTERDAM AVENUE,10027,2128371389,Greek,02/23/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,02/23/2023,Cycle Inspection / Initial Inspection
Hibachi Express,Manhattan,EAST   14 STREET,10009,8176000099,Japanese,02/23/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,02/23/2023,Cycle Inspection / Initial Inspection
DUA KAFE,Manhattan,EAST   14 STREET,10009,2122281696,Mediterranean,02/23/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,02/23/2023,Cycle Inspection / Initial Inspection
PACRIM,Manhattan,EAST   49 STREET,10017,2122074787,Asian/Asian Fusion,02/23/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,02/23/2023,Cycle Inspection / Initial Inspection
SMITH & MILLS,Manhattan,NORTH MOORE STREET,10013,2122262515,American,02/27/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,02/27/2023,Cycle Inspection / Initial Inspection
IL VIOLINO,Manhattan,COLUMBUS AVENUE,10023,2128732500,Italian,02/28/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,02/28/2023,Cycle Inspection / Initial Inspection
TORISHIN,Manhattan,WEST   53 STREET,10019,2127570108,Japanese,03/03/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/03/2023,Cycle Inspection / Initial Inspection
VILLAS LOUNGE 2,Manhattan,AUDUBON AVENUE,10032,6465770726,Latin American,03/05/2023,Violations were cited in the following area(s).,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,A,03/05/2023,Cycle Inspection / Initial Inspection
BIRDLAND,Manhattan,WEST   44 STREET,10036,2125813080,American,03/06/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/06/2023,Cycle Inspection / Initial Inspection
LE BARATIN,Manhattan,GREENWICH AVENUE,10011,2129331080,French,03/07/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/07/2023,Cycle Inspection / Initial Inspection
TAQUERIA ST MARKS PL,Manhattan,SAINT MARKS PLACE,10003,6469645614,Mexican,03/08/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/08/2023,Cycle Inspection / Initial Inspection
THE PINEAPPLE CLUB,Manhattan,EAST    6 STREET,10009,2126978600,New American,03/08/2023,Violations were cited in the following area(s).,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,A,03/08/2023,Cycle Inspection / Initial Inspection
AMC THEATRES,Manhattan,BROADWAY,10023,2123365020,American,03/10/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/10/2023,Cycle Inspection / Initial Inspection
XI'AN FAMOUS FOODS,Manhattan,BAYARD STREET,10013,2127862068,Chinese,03/15/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/15/2023,Cycle Inspection / Initial Inspection
T & J JAMAICAN FLAVA,Manhattan,PARK AVENUE,10029,2128608603,Caribbean,03/15/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/15/2023,Cycle Inspection / Initial Inspection
MEAT AND BREAD,Manhattan,ALLEN STREET,10002,6072283441,American,03/16/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/16/2023,Cycle Inspection / Initial Inspection
BRANDY'S PIANO BAR,Manhattan,EAST   84 STREET,10028,2127444949,American,03/16/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/16/2023,Cycle Inspection / Initial Inspection
BALABOOSTA,Manhattan,HUDSON STREET,10014,2123901545,Mediterranean,03/17/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/17/2023,Cycle Inspection / Initial Inspection
DAILY BAGEL,Manhattan,1 AVENUE,10065,6464230001,American,03/17/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/17/2023,Cycle Inspection / Initial Inspection
ARTURO'S,Manhattan,YORK AVENUE,10028,2125354480,Italian,03/19/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/19/2023,Cycle Inspection / Initial Inspection
THE GREAT AMERICAN HEALTH BAR,Manhattan,WEST   57 STREET,10019,2123555177,Jewish/Kosher,03/20/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/20/2023,Cycle Inspection / Initial Inspection
HEAVEN CAN WAIT,Manhattan,AVENUE A,10009,2124208392,American,03/20/2023,Violations were cited in the following area(s).,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,A,03/20/2023,Cycle Inspection / Initial Inspection
JOHN SULLIVAN'S PUB,Manhattan,WEST   35 STREET,10001,2129937223,Irish,03/24/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/24/2023,Cycle Inspection / Initial Inspection
BIERHAUS,Manhattan,3 AVENUE,10017,2128672337,German,03/27/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/27/2023,Cycle Inspection / Initial Inspection
FLUTE,Manhattan,WEST   54 STREET,10019,2122655169,American,03/28/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/28/2023,Cycle Inspection / Initial Inspection
POLANCO RESTAURANT BBQ,Manhattan,ADAM CLAYTON POWELL JR B,,2128621090,Latin American,03/28/2023,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,03/28/2023,Cycle Inspection / Initial Inspection
TEMPURA MATSUI,Manhattan,EAST   39 STREET,10016,2129868885,Japanese,03/28/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/28/2023,Cycle Inspection / Initial Inspection
AMPERSAND,Manhattan,3 AVENUE,10010,2124778100,American,03/28/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/28/2023,Cycle Inspection / Initial Inspection
CHAMA MAMA,Manhattan,AMSTERDAM AVENUE,10024,9172617430,Eastern European,03/29/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/29/2023,Cycle Inspection / Initial Inspection
DOS CAMINOS SOHO,Manhattan,WEST BROADWAY,10012,2122774300,Mexican,03/29/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/29/2023,Cycle Inspection / Initial Inspection
DOS CAMINOS SOHO,Manhattan,WEST BROADWAY,10012,2122774300,Mexican,03/29/2023,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,03/29/2023,Cycle Inspection / Initial Inspection
UJA FEDERATION,Manhattan,EAST   59 STREET,10022,2128361540,Jewish/Kosher,03/31/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/31/2023,Cycle Inspection / Initial Inspection
CITY CINEMAS 123,Manhattan,3 AVENUE,10022,2128329054,American,03/31/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,03/31/2023,Cycle Inspection / Initial Inspection
SABA'S PIZZA,Manhattan,AMSTERDAM AVENUE,10024,2127871118,Jewish/Kosher,04/04/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/04/2023,Cycle Inspection / Initial Inspection
PAUL WEISS RIFKIN WHARTON,Manhattan,6 AVENUE,10019,2123732423,American,04/06/2023,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,04/06/2023,Cycle Inspection / Initial Inspection
JUDY Z'S SPORTS TAVERN & KITCHEN,Manhattan,7 AVENUE SOUTH,10014,6469985552,American,04/07/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/07/2023,Cycle Inspection / Initial Inspection
SOUP & GYRO,Manhattan,CHURCH STREET,10013,6465590656,Turkish,04/07/2023,Violations were cited in the following area(s).,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,A,04/07/2023,Cycle Inspection / Initial Inspection
COLONY CLUB,Manhattan,PARK AVENUE,10065,2128384200,American,04/10/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/10/2023,Cycle Inspection / Initial Inspection
LA LANTERNA DI VITTORIO,Manhattan,MACDOUGAL STREET,10012,9176393236,Italian,04/12/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/12/2023,Cycle Inspection / Initial Inspection
SUSHI KATSUI,Manhattan,6 AVENUE,10014,3477132804,Japanese,04/12/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/12/2023,Cycle Inspection / Initial Inspection
CHOKOLAT PATISSERIE,Manhattan,BROADWAY,10027,2126626096,French,04/12/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/12/2023,Cycle Inspection / Initial Inspection
BOULTON & WATT,Manhattan,AVENUE A,10009,6464906004,American,04/16/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/16/2023,Cycle Inspection / Initial Inspection
OMEN AZEN,Manhattan,THOMPSON STREET,10012,2129258923,Japanese,04/18/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/18/2023,Cycle Inspection / Initial Inspection
VIAND COFFEE SHOP,Manhattan,MADISON AVENUE,10065,2127516622,Greek,04/18/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/18/2023,Cycle Inspection / Initial Inspection
TOASTIES,Manhattan,EAST   51 STREET,10022,6371767676,American,04/19/2023,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,A,04/19/2023,Cycle Inspection / Initial Inspection
CHIPOTLE MEXICAN GRILL,Manhattan,WEST   40 STREET,10018,2123020650,Tex-Mex,04/20/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/20/2023,Cycle Inspection / Initial Inspection
"HALL , ODO",Manhattan,WEST   20 STREET,10011,9175797290,Japanese,04/22/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/22/2023,Cycle Inspection / Initial Inspection
THE RED LION,Manhattan,BLEECKER STREET,10012,2122609797,American,04/25/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/25/2023,Cycle Inspection / Initial Inspection
EMPANADA MAMA,Manhattan,ALLEN STREET,10002,2126730300,Latin American,04/25/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/25/2023,Cycle Inspection / Initial Inspection
KOSAKA,Manhattan,WEST   13 STREET,10011,2127271709,Japanese,04/25/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/25/2023,Cycle Inspection / Initial Inspection
CHIPOTLE MEXICAN GRILL,Manhattan,6 AVENUE,10011,6462139609,Tex-Mex,04/25/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/25/2023,Cycle Inspection / Initial Inspection
CIBO E VINO,Manhattan,BROADWAY,10024,2123620096,Italian,04/27/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/27/2023,Cycle Inspection / Initial Inspection
HARVARD CLUB,Manhattan,WEST   44 STREET,10036,2128406600,American,04/28/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/28/2023,Cycle Inspection / Initial Inspection
THEATER (FLY),Manhattan,PENN PLZ,10121,2124656273,American,04/29/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/29/2023,Cycle Inspection / Initial Inspection
EL PATIO MEXICANO RESTAURANT,Manhattan,BROADWAY,10032,2129399797,Mexican,04/30/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,04/30/2023,Cycle Inspection / Initial Inspection
LE FRENCH DINER,Manhattan,ORCHARD STREET,10002,2127771577,French,04/30/2023,Violations were cited in the following area(s).,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,A,04/30/2023,Cycle Inspection / Initial Inspection
WESTVILLE,Manhattan,AVENUE A,10009,2126772033,American,05/01/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,05/01/2023,Cycle Inspection / Initial Inspection
FITZGERALD'S PUB,Manhattan,THIRD AVENUE,10010,2126796931,American,05/01/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,05/01/2023,Cycle Inspection / Initial Inspection
CHIPOTLE MEXICAN GRILL,Manhattan,EAST   23 STREET,10010,2126736904,Tex-Mex,05/01/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,05/01/2023,Cycle Inspection / Initial Inspection
NEARY'S PUB,Manhattan,EAST   57 STREET,10022,2127511434,American,05/02/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,05/02/2023,Cycle Inspection / Initial Inspection
NARCISSE,Manhattan,E 59TH ST,10022,6464787446,American,05/02/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,A,05/02/2023,Cycle Inspection / Initial Inspection
